id,title,description,related_product_id
promo1,"첫 방문 고객 이벤트","상담 후 당일 예약 시, 전 시술 15% 할인!","all"
promo2,"V-Line 패키지","슈링크와 턱 보톡스 병행 시, 500바트 추가 할인!","p1,p4"
promo3,"[20% 할인] 더블 리프팅 시너지","슈링크와 인모드로 V라인과 탄력을 동시에! 함께 예약 시 20% 할인됩니다.","p1,p2"
promo4,"[20% 할인] 깨끗한 피부 토닝","피코+레이저 토닝으로 기미/잡티를 깨끗하게! 함께 예약 시 20% 할인됩니다.","p18,p8"
promo5,"[20% 할인] 또렷한 눈매 완성","쌍꺼풀 수술과 눈가 보톡스로 생기있는 눈매 완성! 함께 예약 시 20% 할인됩니다.","p5,p17"
promo6,"[20% 할인] 완벽한 옆모습 라인","코 성형과 턱 필러로 이상적인 옆모습 완성! 함께 예약 시 20% 할인됩니다.","p6,p3"
promo7,"[20% 할인] 동안 볼륨 패키지","얼굴 지방이식과 입술 필러로 생기있는 볼륨 완성! 함께 예약 시 20% 할인됩니다.","p7,p13"
promo8,"[20% 할인] 피부 재생 솔루션","리쥬란 힐러와 피코 토닝으로 피부 속부터 표면까지 케어! 함께 예약 시 20% 할인됩니다.","p10,p18"
promo9,"[20% 할인] 강력한 V라인 정돈","턱 보톡스와 실 리프팅으로 날렵한 V라인 완성! 함께 예약 시 20% 할인됩니다.","p4,p12"
promo10,"[20% 할인] 프리미엄 리프팅 듀오","강력한 울쎄라와 인모드 리프팅으로 효과를 극대화! 함께 예약 시 20% 할인됩니다.","p11,p2"
promo11,"[20% 할인] 입체 페이스 디자인","이마/코 필러로 얼굴의 입체감을 살리는 T존 디자인! 함께 예약 시 20% 할인됩니다.","p16,p3"
promo12,"[20% 할인] 풀페이스 안티에이징","보톡스와 필러로 주름과 볼륨을 한번에 개선! 함께 예약 시 20% 할인됩니다.","p17,p3"